iter	Passed	Remaining
412	3855	5479
413	3864	5470
414	3874	5461
415	3883	5452
416	3893	5442
417	3901	5432
418	3911	5423
419	3919	5413
420	3930	5405
421	3940	5396
422	3949	5387
423	3958	5378
424	3968	5368
425	3977	5359
426	3986	5350
427	3996	5340
428	4005	5331
429	4014	5321
430	4023	5311
431	4033	5303
432	4042	5293
433	4051	5284
434	4061	5274
435	4070	5265
436	4080	5257
437	4090	5248
438	4099	5238
439	4108	5229
440	4118	5220
441	4127	5211
442	4137	5202
443	4147	5193
444	4156	5184
445	4166	5175
446	4176	5166
447	4185	5156
448	4195	5148
449	4204	5138
450	4214	5130
451	4223	5121
452	4233	5111
453	4243	5103
454	4253	5094
455	4262	5085
456	4272	5076
457	4281	5067
458	4291	5058
459	4300	5048
460	4310	5039
461	4319	5030
462	4329	5021
463	4339	5012
464	4348	5003
465	4358	4994
466	4368	4985
467	4377	4976
468	4387	4967
469	4396	4958
470	4406	4949
471	4415	4939
472	4426	4931
473	4435	4922
474	4444	4912
475	4454	4904
476	4464	4894
477	4473	4885
478	4483	4876
479	4492	4866
480	4502	4857
481	4511	4848
482	4520	4839
483	4530	4829
484	4539	4820
485	4549	4811
486	4558	4802
487	4568	4793
488	4578	4784
489	4587	4774
490	4597	4765
491	4606	4756
492	4615	4746
493	4625	4737
494	4635	4729
495	4645	4719
496	4655	4711
497	4664	4702
498	4673	4692
499	4683	4683
500	4692	4674
501	4701	4664
502	4709	4653
503	4719	4644
504	4728	4634
505	4737	4625
506	4747	4616
507	4756	4606
508	4765	4597
509	4776	4588
510	4785	4579
511	4795	4570
512	4805	4562
513	4815	4553
514	4824	4543
515	4834	4534
516	4843	4525
517	4854	4517
518	4863	4507
519	4872	4497
520	4881	4488
521	4891	4479
522	4900	4469
523	4909	4460
524	4919	4450
525	4928	4441
526	4937	4431
527	4947	4422
528	4956	4412
529	4965	4403
530	4974	4394
531	4984	4384
532	4993	4375
533	5002	4365
534	5012	4356
535	5021	4347
536	5031	4337
537	5039	4328
538	5048	4318
539	5057	4308
540	5066	4298
541	5075	4288
542	5084	4279
543	5093	4269
544	5102	4259
545	5113	4251
546	5122	4242
547	5132	4233
548	5141	4224
549	5151	4214
550	5160	4205
551	5170	4196
552	5180	4187
553	5189	4178
554	5199	4168
555	5208	4159
556	5217	4149
557	5226	4139
558	5235	4130
559	5244	4120
560	5252	4110
561	5261	4100
562	5270	4090
563	5279	4081
564	5288	4071
565	5297	4061
566	5305	4051
567	5314	4042
568	5323	4032
569	5332	4022
570	5341	4013
571	5350	4003
572	5358	3993
573	5367	3983
574	5375	3973
575	5384	3963
576	5393	3954
577	5402	3944
578	5411	3935
579	5421	3925
580	5430	3916
581	5440	3907
582	5450	3898
583	5459	3889
584	5469	3879
585	5479	3871
586	5488	3861
587	5498	3852
588	5507	3843
589	5517	3834
590	5526	3824
591	5536	3815
592	5545	3806
593	5555	3796
594	5564	3787
595	5574	3778
596	5583	3769
597	5593	3760
598	5603	3750
599	5612	3741
600	5622	3732
601	5631	3723
602	5641	3714
603	5651	3704
604	5660	3695
605	5670	3686
606	5680	3677
607	5689	3668
608	5699	3659
609	5708	3649
610	5717	3640
611	5726	3630
612	5735	3620
613	5744	3611
614	5753	3601
615	5762	3592
616	5772	3583
617	5781	3573
618	5790	3564
619	5799	3554
620	5808	3544
621	5817	3535
622	5826	3525
623	5835	3516
624	5844	3506
625	5853	3497
626	5862	3487
627	5871	3478
628	5880	3468
629	5890	3459
630	5900	3450
631	5910	3441
632	5919	3432
633	5929	3423
634	5939	3413
635	5948	3404
636	5958	3395
637	5968	3386
638	5977	3377
639	5987	3368
640	5997	3358
641	6006	3349
642	6016	3340
643	6026	3331
644	6035	3321
645	6044	3312
646	6054	3303
647	6063	3293
648	6073	3284
649	6083	3275
650	6093	3266
651	6103	3257
652	6113	3248
653	6122	3239
654	6131	3229
655	6140	3220
656	6151	3211
657	6160	3201
658	6169	3192
659	6180	3183
660	6189	3174
661	6198	3164
662	6208	3155
663	6217	3146
664	6227	3137
665	6237	3128
666	6247	3118
667	6256	3109
668	6266	3100
669	6275	3091
670	6285	3081
671	6295	3072
672	6304	3063
673	6314	3053
674	6324	3044
675	6333	3035
676	6342	3025
677	6351	3016
678	6361	3007
679	6370	2998
680	6381	2989
681	6391	2980
682	6400	2970
683	6410	2961
684	6419	2952
685	6429	2942
686	6439	2933
687	6449	2924
688	6458	2915
689	6468	2906
690	6478	2897
691	6488	2887
692	6498	2878
693	6508	2869
694	6518	2860
695	6528	2851
696	6538	2842
697	6549	2833
698	6559	2824
699	6568	2815
700	6579	2806
701	6589	2797
702	6598	2787
703	6609	2778
704	6618	2769
705	6629	2760
706	6639	2751
707	6649	2742
708	6659	2733
709	6669	2724
710	6679	2715
711	6690	2706
712	6700	2697
713	6710	2687
714	6719	2678
715	6728	2668
716	6737	2659
717	6746	2649
