iter	Logloss
0	0.683450667
1	0.6743181375
2	0.6670171453
3	0.6582265091
4	0.6529429751
5	0.6460909725
6	0.6386377814
7	0.6318023104
8	0.6255149589
9	0.6186568467
10	0.6124020194
11	0.6068132491
12	0.6012428075
13	0.5963922106
14	0.5917374178
15	0.5876694979
16	0.5825044406
17	0.5776016733
18	0.573297399
19	0.56968356
20	0.5655437036
21	0.5621754432
22	0.5584775084
23	0.5558085481
24	0.5529615732
25	0.5499039398
26	0.546187437
27	0.5429975505
28	0.5405100788
29	0.537806378
30	0.5352796137
31	0.5327304478
32	0.530815893
33	0.5281465733
34	0.5259744604
35	0.5235288568
36	0.5213173915
37	0.519611279
38	0.517917146
39	0.5160033099
40	0.5147159988
41	0.5130506164
42	0.5117749853
43	0.5102676118
44	0.5084100192
45	0.5070299872
46	0.5053285467
47	0.5034692172
48	0.5017094368
49	0.5007100816
50	0.4994827276
51	0.4982893054
52	0.4969768674
53	0.4954829408
54	0.4941219561
55	0.4929598302
56	0.4914020832
57	0.4902413349
58	0.4894429349
59	0.4882413067
60	0.4870588757
61	0.4861996201
62	0.4853385376
63	0.4845503201
64	0.4838060672
65	0.4829939507
66	0.4823900369
67	0.4815512662
68	0.4807049783
69	0.4798058012
70	0.4790483709
71	0.478001637
72	0.4771228848
73	0.4764237345
74	0.4754621745
75	0.4746622171
76	0.4739054456
77	0.4729615852
78	0.472183131
79	0.4714166562
80	0.4707061553
81	0.4699577994
82	0.4692310065
83	0.4687071454
84	0.4679589992
85	0.467157784
86	0.4665770205
87	0.4658837101
88	0.4654598474
89	0.4648653376
90	0.4641504642
91	0.4635875501
92	0.4627783386
93	0.4624119174
94	0.4618709856
95	0.4613459565
96	0.4605870587
97	0.4599190848
98	0.4593448801
99	0.4589394059
100	0.4582968285
101	0.4576780602
102	0.457215444
103	0.4567180575
104	0.456323185
105	0.4558439773
106	0.4552217949
107	0.4547168913
108	0.4542084837
109	0.4537530252
110	0.453380704
111	0.4529368057
112	0.4524122858
113	0.4519300233
114	0.451666206
115	0.4512761253
116	0.4508442064
117	0.4504325029
118	0.4500494002
119	0.4496850754
120	0.4491792134
121	0.4486506803
122	0.4484287012
123	0.4481191523
124	0.4477986124
125	0.4474446497
126	0.4472063187
127	0.4466567617
128	0.4464223539
129	0.4461183455
130	0.4454874481
131	0.4452746333
132	0.4449289065
133	0.4443514973
134	0.4439041249
135	0.4433899672
136	0.4431524747
137	0.442695369
138	0.442234969
139	0.4418621987
140	0.4414311483
141	0.4410730228
142	0.4405894126
143	0.440345032
144	0.4398050286
145	0.439373499
146	0.4390966541
147	0.4386795897
148	0.4383397329
149	0.4379775942
150	0.4376540893
151	0.4371224416
152	0.436746886
153	0.4364519521
154	0.4362551298
155	0.4358632522
156	0.4356045262
157	0.4352559843
158	0.4351459231
159	0.4349675791
160	0.4346851038
161	0.4343511169
162	0.4339677747
163	0.4337113846
164	0.4332708406
165	0.4328855517
166	0.4324131423
167	0.4320921231
168	0.4317541231
169	0.4314635018
170	0.4313090568
171	0.4310843224
172	0.4308224817
173	0.4305177246
174	0.4303212318
175	0.4299614591
176	0.4295009693
177	0.4291630591
178	0.4289296396
179	0.4286112859
180	0.42828251
181	0.4280031793
182	0.4277275623
183	0.4275160053
184	0.4271576702
185	0.426819161
186	0.4265805305
187	0.4262648721
188	0.4259957539
189	0.4255632959
190	0.4251824694
191	0.4248677993
192	0.4245642702
193	0.424319021
194	0.4240167197
195	0.4238379565
196	0.4232922928
197	0.4228230579
198	0.4226025463
199	0.4223529845
200	0.4221031233
201	0.4217632365
202	0.4216944146
203	0.4214149641
204	0.4211798675
205	0.4207860732
206	0.4205515157
207	0.420230197
208	0.4199067221
209	0.4196547344
210	0.4194377867
211	0.4191101489
